account,link,token,stem,amount_balance,bdv_balance
0x00427c81629cd592aa068b0290425261cbb8eba2,"<a href=""https://etherscan.io/address/0x00427c81629cd592aa068b0290425261cbb8eba2"" target=""_blank"" >0x00427c81629cd592aa068b0290425261cbb8eba2</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32708,1,1
0x00427c81629cd592aa068b0290425261cbb8eba2,"<a href=""https://etherscan.io/address/0x00427c81629cd592aa068b0290425261cbb8eba2"" target=""_blank"" >0x00427c81629cd592aa068b0290425261cbb8eba2</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,21641684727,980056912,980056912
0x00427c81629cd592aa068b0290425261cbb8eba2,"<a href=""https://etherscan.io/address/0x00427c81629cd592aa068b0290425261cbb8eba2"" target=""_blank"" >0x00427c81629cd592aa068b0290425261cbb8eba2</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16402,2,1
0x00427c81629cd592aa068b0290425261cbb8eba2,"<a href=""https://etherscan.io/address/0x00427c81629cd592aa068b0290425261cbb8eba2"" target=""_blank"" >0x00427c81629cd592aa068b0290425261cbb8eba2</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-32890000000,146208339305,32883212853
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-21756,1144855890,256657555
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,13896,20543756,20543756
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-22090,62005,13900
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-17176,125704477,28180842
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,1046881438,234693325
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-25230,1687898985,378398741
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-18160,44909616,10067985
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-20698,5206817,1167281
0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97,"<a href=""https://etherscan.io/address/0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97"" target=""_blank"" >0x0086e622ac7afa3e5502dc895fd0eab8b3a78d97</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-14232,53321844,53321844
0x008829acd7ec452fc50989aa9bfa5d196baae20a,"<a href=""https://etherscan.io/address/0x008829acd7ec452fc50989aa9bfa5d196baae20a"" target=""_blank"" >0x008829acd7ec452fc50989aa9bfa5d196baae20a</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32748,1,1
0x008829acd7ec452fc50989aa9bfa5d196baae20a,"<a href=""https://etherscan.io/address/0x008829acd7ec452fc50989aa9bfa5d196baae20a"" target=""_blank"" >0x008829acd7ec452fc50989aa9bfa5d196baae20a</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-32748,23702662572,5327609979
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32864,7523066025,1632713857
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32604,1840080769,399348531
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33012,8913527932,1934482633
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,10617,189511237,189511237
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,17052,441321518,441321518
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33056,4399671372,954850641
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33808,10338210628,2243678269
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32532,208538907,45258723
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32560,10515187801,2282087221
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32836,5767917161,1251797903
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-36336,9910692242,2150894929
0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d,"<a href=""https://etherscan.io/address/0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d"" target=""_blank"" >0x00aaea7b4dc89e4a4facda32da496ba5d8e1216d</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16206,93433698,93433698
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-19114,111981476,24681472
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,28159484,6206540
